,standard_inflation,standard_electricity,standard_chicken,standard_gasoline,standard_confidence
57,-0.1217973987398343,-0.6104322524598257,-0.8584167049365581,-0.0326241160518404,0.8945270706081249
25,-0.788533159082893,-0.7605288566464635,-0.6682836794471475,-1.6816839125030758,0.5119917920005254
44,-0.255144550808446,-0.1601424398999142,-0.6570993838301233,-0.4110244443446687,1.0991539816168228
120,0.1448969053973891,2.16635492499297,2.1781195550854964,0.4591490732470101,-0.460805350141619
126,0.0559988040183145,2.5415964354595646,2.183711702894008,1.0495713753692826,0.1991184558783311
73,-0.2106955001189089,-0.7605288566464635,-1.316972825234547,-0.653966289357574,-0.4474218622342327
33,-0.5218388549456695,-0.7605288566464635,-0.5340721320428578,-0.9808334990113008,0.5841560754095114
11,-0.8774312604619674,-0.6854805545531446,-0.3159783675108874,-0.5140906816228706,0.596102735302717
116,0.4115912095346126,2.0162583208063345,1.697194843553458,1.588460558852454,-1.2384764047171648
79,-0.6551860070142812,-0.5353839503665068,0.0642876834679336,-1.0780102370164628,-0.8609135196867346
122,0.322693108155538,2.241403227086289,2.200488146319545,0.9892040078206212,-0.4776921153420251
78,-0.788533159082893,-0.5353839503665068,0.6402789077446767,-1.0794826118347225,-1.036222681552103
106,1.9228589329788783,1.415871904059783,1.3728502706597578,1.38968995838735,-2.0608990014872695
24,-0.6107369563247441,-0.7605288566464635,-0.9422989220642386,-1.3872089488510693,0.563087979246485
112,0.5449383616032242,1.5659685082464208,1.803445651915187,1.142330988919665,-1.0219431941527168
23,-0.9218803111515048,-0.8355771587397824,-0.8975617395961419,-1.2502780907528863,0.6505084702218025
96,2.1006551357370276,0.2150990705666803,0.1369856049785912,0.7418450383529358,-1.0131850009202017
82,-0.6996350577038185,-0.6104322524598257,0.2320521177232958,-1.2061068462050857,-0.6938378666666851
91,1.1227760205672082,-0.0100458357132764,-0.70183656629822,0.509209817067851,0.1549723187459251
100,2.5895946933219367,0.7404371852199128,1.266599462298029,2.4954434469006337,-2.374071004106786
16,-1.2330236659782654,-0.5353839503665068,-0.6403229404045865,-0.1975300956969641,0.6576926102927172
52,0.0115497533287772,-0.6104322524598257,-0.4166370280641048,-0.0031766196866397,1.1306350448489328
19,-1.1441255645991908,-0.1601424398999142,-0.9478910698727512,-0.3388780782499273,0.4742952367969478
121,0.1893459560869263,2.16635492499297,1.976802233979062,0.6623367981668944,-0.4152546732650128
65,-0.5218388549456695,-0.3852873461798689,-0.0419631248937951,-0.231394716516945,0.7339736481243627
75,-1.0996765139096538,-0.8355771587397824,-0.1482139332555252,-1.5211950573127324,-1.6305205788343615
55,-0.0328992973607598,-0.3852873461798689,-0.4837428017662497,-0.0694334865083411,1.056856347940868
111,0.9449798178090596,1.5659685082464208,1.54061470491512,1.215949729832666,-1.1665623554005355
34,-0.4773898042561323,-0.9856737629264204,-0.6682836794471475,-1.063286488833863,0.628633167309231
87,0.6338364629822988,-0.3852873461798689,-0.4613742105322014,-0.103298107328322,0.4347421060694211
32,-0.5662879056352068,-0.3852873461798689,-0.6179543491705383,-1.0323666176504016,0.5279744856414336
119,0.2782440574660007,1.8661617166196964,1.9991708252131104,0.5592705608886924,-0.6110911027712153
6,-0.3440426521875206,-0.0850941378065953,-0.5732171667024416,1.065767498370143,0.1991184558783311
41,-0.5218388549456695,-0.1601424398999142,-0.5620328710854174,-0.8424302660948575,0.9176131836450026
46,-0.255144550808446,-0.6104322524598257,-0.8192716702769729,-0.531759179441991,1.1115042448848125
58,-0.255144550808446,-0.7605288566464635,-0.5396642798513704,-0.3506570767960075,0.8324528715683953
39,-0.255144550808446,-0.6854805545531446,-0.8584167049365581,-0.723167905815795,0.8711987955463769
22,-1.0107784125305792,-0.7605288566464635,-0.6347307925960751,-1.0662312384703825,0.7048334844659198
54,0.0559988040183145,-0.3852873461798689,-0.439005619298153,-0.0532373635074805,1.1133608204087502
92,1.1672250712567458,-0.0100458357132764,-0.5228878364258336,0.5239335652504516,0.0084965819741685
88,0.9894288684985966,-0.31023904408655,-0.623546496979051,0.0925277435002621,0.557760414699508
37,-0.0328992973607598,-0.6854805545531446,-0.6962444184897073,-0.898380509188739,0.7253365359042714
95,1.8784098822893411,-0.1601424398999142,0.047511240042398,0.7344831642616358,-0.638996240102858
124,0.2337950067764634,2.316451529179608,2.3235153981068093,1.2453972261978667,-0.6625505330544691
36,-0.1217973987398343,-0.7605288566464635,-1.003812547957872,-0.8218170186392173,0.6436472128507035
38,-0.1662464494293716,-0.7605288566464635,-0.7577580443833407,-0.8630435135504982,0.8131606302543614
2,-0.5662879056352068,-0.6854805545531446,-0.2992019240853506,0.91705764172588,0.1991184558783311
86,-0.0773483480502971,-0.4603356482731878,-0.3047940718938633,-0.1739720986048036,0.2363306870321792
7,-0.4773898042561323,-0.0850941378065953,-0.1426217854470125,0.8419665259946181,0.1991184558783311
64,-0.432940753566595,-0.6104322524598257,-0.6626915316386348,-0.0120108685962003,0.8374575534155566
10,-0.6551860070142812,-0.7605288566464635,-0.360715549978984,-0.0326241160518404,0.4294145415224555
47,-0.2995936014979833,-0.6104322524598257,-0.7130208619152442,-0.6628005382671338,1.111019920835083
28,-0.788533159082893,-0.8355771587397824,-0.6067700535535141,-0.9499136278278404,0.549607626529146
72,-0.1217973987398343,-0.7605288566464635,-1.05414187823448,-0.5037840578950503,0.3980141989652909
21,-1.1441255645991908,-0.6104322524598257,-0.9367067742557272,-0.913104257371339,0.6681862980367578
45,-0.3440426521875206,-0.5353839503665068,-0.6347307925960751,-0.6259911678106331,1.1184462229308685
20,-1.2330236659782654,-0.2351907419932331,-1.0205889913834076,-0.7585049014540358,0.5592133868486846
31,-0.7440841083933557,-0.3852873461798689,-0.9590753654897752,-1.1104024830181838,0.499076484007861
117,0.1893459560869263,1.8661617166196964,1.8369985387662593,1.2851513462908877,-1.1514756612516044
123,0.2782440574660007,2.16635492499297,1.987986529596086,1.2763170973813271,-0.593598932508656
81,-0.6996350577038185,-0.6854805545531446,-0.0978846029789159,-1.1045129837451435,-0.7856737785619953
97,2.2784513384951763,0.2901473726599992,0.1929070830637107,1.0054001308214815,-1.4520471665107852
66,-0.432940753566595,-0.31023904408655,-0.1985432635321332,-0.1960577208787042,0.6133769597428996
26,-0.8329822097724303,-0.7605288566464635,-0.752165896574828,-1.4004603222154095,0.5153820603485963
42,-0.4773898042561323,-0.0850941378065953,-0.5676250188939301,-0.9248832559174192,0.9685479295410486
102,2.5451456426324,1.490920206153102,1.5797597395747038,2.5882030604510153,-2.5268994579974295
71,-0.2106955001189089,-0.8355771587397824,-0.8248638180854856,-0.4743365615298496,0.7925768581410644
94,1.789511780910267,-0.1601424398999142,-0.0811081595533803,0.8434389008128785,-0.3686304114115086
53,0.0559988040183145,-0.3852873461798689,-0.4669663583407128,0.0071300040411805,1.149685124138108
68,-0.4773898042561323,-0.3852873461798689,-0.6179543491705383,-0.4110244443446687,0.6556745934188659
51,-0.1217973987398343,-0.7605288566464635,-0.4837428017662497,-0.253480338790845,1.11771973685628
107,1.6561646288416552,1.5659685082464208,1.3001523491491014,0.6579196737121141,-1.813482060685378
56,-0.2106955001189089,-0.4603356482731878,-0.6179543491705383,-0.0532373635074805,0.9815439582086698
118,0.1448969053973891,1.7911134145263776,2.1166059291918633,0.8699416475415588,-0.8890608190432364
14,-1.2774727166678026,-0.6104322524598257,-0.2936097762768391,-0.627463542628893,0.7527815653886788
18,-1.1441255645991908,-0.1601424398999142,-0.6179543491705383,-0.1136047310561424,0.4977849532085979
59,-0.3884917028770578,-0.6854805545531446,-0.7353894531492924,-0.7290574050888351,0.8118690994550983
98,2.5451456426324,0.4402439768466371,0.7073846814468215,2.0655099999687048,-1.77088576051209
93,1.5228174767730436,-0.1601424398999142,-0.4166370280641048,0.7006185434416549,-0.174594052956781
15,-1.32192176735734,-0.5353839503665068,-0.3271626631279116,-0.6245187929923733,0.6993444785690405
61,-0.5662879056352068,-0.6104322524598257,-0.623546496979051,-0.8188722690026969,0.9310128156873848
9,-0.4773898042561323,-0.6104322524598257,-0.2712411850427909,0.4017264553348687,0.2786283207081455
13,-1.2330236659782654,-0.4603356482731878,-0.2656490372342782,-0.9719992501017404,0.7545574202376711
108,1.6117155781521182,1.7911134145263776,1.4399560443619026,0.7992676562650772,-1.6143280114385634
27,-0.7440841083933557,-0.7605288566464635,-0.5676250188939301,-1.1413223542016442,0.5581640180742805
74,-0.5662879056352068,-0.7605288566464635,-1.1044712085110893,-0.94549650337306,-1.3492413148892148
49,-0.255144550808446,-0.6854805545531446,-0.6682836794471475,-0.49200505934897,1.1321687376730662
60,-0.5218388549456695,-0.6854805545531446,-0.6962444184897073,-0.913104257371339,0.8670013204487607
85,-0.4773898042561323,-0.5353839503665068,-0.0811081595533803,-0.6083226699915127,-0.026592695428389
109,1.433919375393969,1.7911134145263776,1.6580498088938729,0.890554894997199,-1.4813326273841458
48,-0.2995936014979833,-0.6854805545531446,-0.4949270973832738,-0.5450105528063311,1.1252267596270105
63,-0.3440426521875206,-0.6854805545531446,-0.752165896574828,-0.1091876066013621,0.9151108427214218
104,2.411798490563788,1.7160651124330586,1.6412733654683374,1.4309164532986305,-2.4273789378464907
83,-0.6107369563247441,-0.6104322524598257,0.1313934571700785,-1.0912616103808028,-0.580990363080823
8,-0.4773898042561323,-0.2351907419932331,-0.3047940718938633,0.7271212901703358,0.1920150364823731
90,1.1672250712567458,-0.0850941378065953,-0.908746035213166,0.4768175710661305,0.2854895780792445
5,-0.2995936014979833,-0.0850941378065953,-0.5284799842343463,1.1570547371022648,0.1991184558783311
105,2.1895532371161024,1.6410168103397398,1.4846932268299993,1.6296870537637351,-2.2812018675720673
113,0.1004478547078518,1.9412100187130157,1.987986529596086,1.1820851090126858,-0.9522651075323154
84,-0.6107369563247441,-0.6104322524598257,-0.0140023858512354,-0.858626389095718,-0.3572487962429777
67,-0.4773898042561323,-0.3852873461798689,-0.4669663583407128,-0.374215073888168,0.5972328247520778
